user_id,price,items_count,porcentaje,posted
0898786879898,69.96,7.0,no ha hecho review,0
08alross,4130.66,313.0,no ha hecho review,0
0903512455,199.85,41.0,1.0,2014-12-02
09106,1152.1,176.0,1.0,2015-09-03
091263,3008.85,369.0,1.0,2013-12-04
092688110,0.0,1.0,no ha hecho review,0
092982943,94.93,28.0,no ha hecho review,0
0935659130,466.76,59.0,no ha hecho review,0
094553552,689.55,89.0,1.0,2013-11-25
095732,179.86,30.0,0.6666666666666666,2015-09-30
095843067,2645.61,239.0,1.0,0
098765432108642,179.91,12.0,no ha hecho review,0
09876543231,215.83,25.0,1.0,2014-01-08
098766catdogbnmnnn,227.84,42.0,1.0,2013-12-14
09895749373554,345.74,33.0,no ha hecho review,0
0996633,601.7,56.0,no ha hecho review,0
0FI3MWAJS2849023N,331.78,36.0,no ha hecho review,0
0fficiaIfIaw,38.97,23.0,no ha hecho review,0
0nlyb0nes,224.91,22.0,no ha hecho review,0
0rangeZ3r0,143.88,29.0,no ha hecho review,0
0x0B00B135,500.62,59.0,no ha hecho review,0
0x426F,1728.83,149.0,no ha hecho review,0
1-800-Invisible,5822.0,536.0,no ha hecho review,0
10000000thVisitor,1105.18,106.0,1.0,2015-01-11
1000000sdsd,54.97,22.0,no ha hecho review,0
100002077293140,0.0,1.0,no ha hecho review,0
100011101011,347.84,31.0,no ha hecho review,0
1000jaus,642.64,50.0,no ha hecho review,0
1001101001110101,3363.64,286.0,0.0,2014-07-21
100355,524.66,50.0,no ha hecho review,0
10051997,1249.17,130.0,1.0,2012-10-23
10101010101010109,3721.1,307.0,1.0,2014-12-15
101010101111,382.8,42.0,1.0,2014-01-04
101010102,70.93,8.0,no ha hecho review,0
1010102,223.85,45.0,no ha hecho review,0
101013483181348,14.99,7.0,no ha hecho review,0
1010231464,44.97,9.0,no ha hecho review,0
1011001,1223.17,128.0,0.9,2014-10-28
1011010101101101010101,634.53,52.0,no ha hecho review,0
1011012001,49.96,14.0,no ha hecho review,0
101316,254.84,21.0,no ha hecho review,0
1016523030,0.0,6.0,1.0,2014-11-11
101676057,270.86,29.0,no ha hecho review,0
10197226,271.74,36.0,1.0,2013-12-08
101thegreenguy,1270.61,98.0,no ha hecho review,0
102547508,19.99,13.0,no ha hecho review,0
102598615,161.86,45.0,1.0,2014-07-26
1032165460,64.95,7.0,no ha hecho review,0
1052218979baidu,242.86,21.0,no ha hecho review,0
10817,334.8,38.0,no ha hecho review,0
109284293753647,1837.91,150.0,no ha hecho review,0
10936543792,1033.25,109.0,1.0,2013-11-29
10948278193,69.96,31.0,no ha hecho review,0
109654,0.0,1.0,no ha hecho review,0
109leonidas,1841.86,178.0,no ha hecho review,0
10Degree,1236.09,150.0,1.0,2015-02-16
10gp,169.89,21.0,no ha hecho review,0
10outof10matee,1209.24,56.0,no ha hecho review,0
10oyard,209.88,20.0,1.0,2014-12-21
11010011011,1603.01,140.0,no ha hecho review,0
1101167413,531.66,42.0,no ha hecho review,0
110211021,488.62,73.0,0.5,0
110321565469,817.99,76.0,no ha hecho review,0
1103703132946,702.56,65.0,1.0,0
111190869,798.56,62.0,1.0,2015-04-27
111222333222111,274.83,28.0,no ha hecho review,0
111222333444555666888,1151.38,52.0,0.8571428571428571,2015-11-06
11123xxx3122,59.95,10.0,no ha hecho review,0
11124,440.71,44.0,0.0,2015-10-16
11141995,566.58,47.0,no ha hecho review,0
111s,2269.24,242.0,no ha hecho review,0
111zerosen,419.52,65.0,1.0,2014-07-06
1122305938,2374.75,177.0,0.75,2014-01-12
112asdasfasdasd,0.0,23.0,1.0,2015-04-14
11345678,247.86,34.0,no ha hecho review,0
113595,1059.41,76.0,1.0,2014-12-04
1136579070,686.5899999999999,82.0,1.0,2013-12-28
11464789,301.79,37.0,no ha hecho review,0
11567jj,466.74,102.0,1.0,2013-12-10
1163321,361.81,56.0,no ha hecho review,0
117007,129.92,15.0,no ha hecho review,0
117331,341.75,67.0,1.0,2015-08-06
117a2,119.93,11.0,no ha hecho review,0
117arbiter,1577.53,166.0,1.0,2014-03-24
11925219096,672.63,70.0,1.0,2015-02-08
119922883377446655123456789,263.82,60.0,0.0,2015-12-06
11XGX,2682.33,215.0,0.5,2014-03-20
12021988,0.0,3.0,no ha hecho review,0
120445,935.77,120.0,1.0,2013-02-24
120488700,264.92,21.0,1.0,2013-12-22
12110604,194.89,16.0,no ha hecho review,0
1212343456567878909,340.82,33.0,1.0,2015-07-31
12123871234989120,147.88,33.0,no ha hecho review,0
12125,1347.17,126.0,1.0,2013-11-30
1214551565454556,0.0,4.0,no ha hecho review,0
121478,1599.2,129.0,no ha hecho review,0
121598558,0.0,9.0,no ha hecho review,0
12223536,2041.11,177.0,0.5,2012-04-12
122249_700b,318.74,38.0,no ha hecho review,0
122799,54.97,17.0,no ha hecho review,0
123123123131231231,295.87,43.0,1.0,2014-09-13
12312312332123,205.86,31.0,1.0,2015-05-29
12312341244123,519.77,50.0,no ha hecho review,0
1231343263534243534,540.65,48.0,no ha hecho review,0
123232343432555686888554456555,623.67,65.0,1.0,2014-12-26
1232999,732.67,64.0,no ha hecho review,0
12332165478953761,763.51,59.0,1.0,2014-02-28
1233451231252123,204.91000000000005,77.0,no ha hecho review,0
1233zaazen,390.8,33.0,no ha hecho review,0
12341008,14.99,3.0,no ha hecho review,0
12341846,301.77,28.0,1.0,2014-09-04
1234321115,524.68,46.0,no ha hecho review,0
1234455565,19.99,2.0,no ha hecho review,0
12345123456,312.82,33.0,no ha hecho review,0
1234567124567,439.76,38.0,no ha hecho review,0
12345676543456789098543,437.71,73.0,1.0,2014-04-18
1234567810132,144.85,48.0,1.0,2014-02-12
123456787654329,1328.24,131.0,no ha hecho review,0
12345678901234567890123456567890,2789.4,206.0,0.8571428571428571,2014-11-28
1234567890192837465,860.52,98.0,1.0,2014-06-27
1234567890qweccrtht,377.79,41.0,no ha hecho review,0
1234567890qwertyuiop,34.98,4.0,no ha hecho review,0
12345678910123,4.99,2.0,no ha hecho review,0
12345678910a,1163.4,81.0,1.0,2014-03-01
1234567898354127873,44.95,10.0,no ha hecho review,0
123456789874561232145678,2822.13,269.0,1.0,2012-11-04
123456789_Kappa,410.25,37.0,no ha hecho review,0
123456789diamond987654321,700.54,71.0,1.0,2013-12-31
1234567io9872345678765432,1356.08,155.0,0.875,2014-11-03
12345gh,204.92,17.0,no ha hecho review,0
1234865654,463.64,76.0,1.0,2014-06-29
1234derpaa,434.73,44.0,no ha hecho review,0
12391939123,824.91,124.0,1.0,2012-12-30
12398uf8jg21390,307.78000000000003,35.0,1.0,2015-12-28
12399017,160.82999999999998,25.0,no ha hecho review,0
123abc321,0.0,2.0,no ha hecho review,0
123abccba,1005.42,91.0,no ha hecho review,0
123amazing123,315.85,48.0,no ha hecho review,0
123curssin123,409.81,52.0,no ha hecho review,0
123franz789,54.97,15.0,no ha hecho review,0
123joshua321,940.3,87.0,1.0,2015-05-13
123repulseMe,1087.25,137.0,1.0,2014-06-29
123sharpshooter123,0.0,2.0,no ha hecho review,0
1242163634531636,9.98,2.0,no ha hecho review,0
12435674325tyughnb,480.72,43.0,no ha hecho review,0
12435gg,482.69,107.0,no ha hecho review,0
124653tf,129.97,8.0,no ha hecho review,0
124681,19.99,3.0,no ha hecho review,0
1249012512908890112890,745.08,75.0,no ha hecho review,0
124c7937,0.0,2.0,no ha hecho review,0
12524,298.8,81.0,no ha hecho review,0
12536475869trhgsdf,559.46,99.0,1.0,2014-01-21
12549,223.88,64.0,no ha hecho review,0
12779,782.49,105.0,0.8,2014-09-06
128463821947,69.97,10.0,no ha hecho review,0
12874175635ELITE,4.99,2.0,no ha hecho review,0
128bitbit,289.8,81.0,no ha hecho review,0
1294120970512,492.7,49.0,no ha hecho review,0
129874182,1695.91,155.0,1.0,2015-11-18
12DeAgostoAs12HRSe26MIN,280.78,35.0,1.0,2015-07-21
12_gauge_org,287.89,48.0,1.0,2015-10-16
12das,44.96,20.0,1.0,2014-09-30
1300655506nigga,312.72,41.0,1.0,2014-09-29
13012,1322.22,128.0,no ha hecho review,0
131312,1668.07,135.0,0.7777777777777778,2014-07-17
1313Lcf,1959.9,144.0,no ha hecho review,0
131467132,448.77,56.0,1.0,2014-02-27
13199708,1843.93,139.0,no ha hecho review,0
1321742413,238.85,66.0,0.8,2013-12-19
132413244231,351.77,43.0,no ha hecho review,0
13272310,169.94,28.0,no ha hecho review,0
13371337133713337,139.97,18.0,no ha hecho review,0
133742069174,1028.51,95.0,1.0,2014-04-15
1337666133766613376661337,1344.18,113.0,1.0,2015-01-19
133774553644535355354,9.99,5.0,no ha hecho review,0
1337Akraken,1148.35,110.0,0.0,2014-07-04
1337_K_REW,84.95,38.0,1.0,2015-08-01
1337_Speak,2520.39,269.0,no ha hecho review,0
1337hunter,1236.8,67.0,1.0,0
1337leetSloth,39.97,3.0,no ha hecho review,0
1337lolroflmao,1911.82,197.0,1.0,2014-12-23
1337mlg,495.54,103.0,no ha hecho review,0
1337putin,1759.05,91.0,1.0,2015-12-21
1343534566,227.85,23.0,1.0,2014-02-05
13457856281,317.76,42.0,1.0,2015-06-04
1345adfg,0.0,8.0,no ha hecho review,0
134679jc333,59.96,17.0,no ha hecho review,0
135781,903.45,63.0,0.875,2015-01-19
1373648137417,1618.96,176.0,no ha hecho review,0
137731251236671466147,5236.26,371.0,no ha hecho review,0
13971397,2839.42,222.0,1.0,2014-08-28
1398199813,9.99,3.0,no ha hecho review,0
13lazer,5478.54,398.0,1.0,2012-07-15
13omadragon,224.88,33.0,no ha hecho review,0
13salva,593.62,61.0,no ha hecho review,0
1408129010,244.89,31.0,no ha hecho review,0
142331415,1713.65,179.0,no ha hecho review,0
142412412124142,0.0,3.0,no ha hecho review,0
14372193,344.81,111.0,1.0,2014-01-11
143865,419.76,62.0,no ha hecho review,0
1440454,638.5799999999999,70.0,1.0,2015-01-17
144289919655093823,512.63,48.0,no ha hecho review,0
1452221660414,1585.19,140.0,1.0,2013-12-12
14528910,0.0,1.0,no ha hecho review,0
1454235887,0.0,3.0,no ha hecho review,0
145578,1015.97,94.0,1.0,2014-09-04
1456237,412.74,34.0,no ha hecho review,0
1457184935981,172.88,27.0,1.0,2015-06-04
146847798098,49.97,29.0,no ha hecho review,0
14725836900,124.92,17.0,1.0,2014-11-15
14747,1873.59,180.0,no ha hecho review,0
147532984,919.51,99.0,1.0,2014-02-24
147751,202.86,12.0,no ha hecho review,0
14789633698741,4522.14,348.0,no ha hecho review,0
148203604,0.0,7.0,no ha hecho review,0
150010792,156.84,113.0,1.0,2015-04-07
150230,1881.61,152.0,no ha hecho review,0
1513412123111331,147.85,17.0,no ha hecho review,0
151995,134.91,41.0,no ha hecho review,0
1522188745,542.63,83.0,no ha hecho review,0
1540359,70.97,14.0,no ha hecho review,0
154352,444.72,87.0,0.75,2014-06-09
1546328127418,329.88,27.0,0.5,2014-08-17
154930493,427.82,38.0,1.0,2015-12-27
15511551,1103.1,156.0,1.0,2013-05-14
155754572,114.93,21.0,no ha hecho review,0
15632897,3143.15,255.0,no ha hecho review,0
157645,4796.76,487.0,1.0,2014-12-19
15832789427,1060.5,102.0,1.0,2013-12-30
1591240764,377.0,101.0,no ha hecho review,0
15934,1694.13,124.0,1.0,2014-03-05
159zse159,4868.06,377.0,1.0,2014-10-23
1607426135,39.96,14.0,no ha hecho review,0
1626466724893520,584.68,64.0,1.0,2014-09-06
163050995,0.0,13.0,1.0,2015-04-15
16362426247,493.63,68.0,no ha hecho review,0
16395,59.96,11.0,no ha hecho review,0
16538,2357.98,138.0,1.0,2014-03-18
16748438,274.88,21.0,no ha hecho review,0
169420666,322.74,53.0,1.0,2014-07-12
17-04-2000,557.67,90.0,no ha hecho review,0
17101710,1353.09,134.0,0.8888888888888888,2013-12-18
1711338513531,210.85,28.0,no ha hecho review,0
171516,1556.97,196.0,0.8333333333333334,2013-11-26
1726432,189.96,12.0,no ha hecho review,0
17291799,154.92,19.0,1.0,2012-10-05
172954833,0.0,24.0,no ha hecho review,0
173902,9.99,2.0,no ha hecho review,0
1739902091026,266.8,79.0,1.0,2014-08-16
174561864923145,452.72,51.0,no ha hecho review,0
174gamecuman700kngkakak,1324.21,159.0,1.0,2014-10-31
17731773,310.71,47.0,no ha hecho review,0
177652,494.76,24.0,no ha hecho review,0
17829463213,419.81,69.0,1.0,2014-07-17
1800-Ricohut,1009.32,121.0,0.8333333333333334,2015-07-22
1800FkMyVajj,14.99,7.0,no ha hecho review,0
18023009,14.99,2.0,no ha hecho review,0
180577,578.59,66.0,1.0,2015-06-11
18082001,660.29,105.0,1.0,2015-03-30
18228272828,1632.12,153.0,1.0,2013-06-06
182748927838783778382,120.9,21.0,no ha hecho review,0
182828282,479.71,44.0,no ha hecho review,0
18283848,971.5,72.0,no ha hecho review,0
1829369648,0.0,2.0,no ha hecho review,0
18481,2094.8,154.0,1.0,2015-04-13
1850172512752815,127.42,28.0,1.0,0
18504965711,1041.45,80.0,no ha hecho review,0
1859082899,68.95,17.0,no ha hecho review,0
186038013,0.0,1.0,no ha hecho review,0
1870380085,298.79,43.0,no ha hecho review,0
1873410337,379.83,39.0,0.8888888888888888,2014-08-15
1875489156748,381.74,52.0,1.0,2014-11-27
187625,390.63,121.0,0.6666666666666666,2014-03-28
18855881,2878.39,204.0,no ha hecho review,0
1889999999999999,249.91,35.0,1.0,2014-06-27
19-20-5-20-27-5-18,154.88,32.0,1.0,2015-04-03
190120001826,0.0,2.0,no ha hecho review,0
1920410,1074.44,87.0,0.0,2014-02-20
19210801,215.86,51.0,no ha hecho review,0
1922001,510.1,94.0,1.0,2014-02-03
1930234,591.69,82.0,no ha hecho review,0
19365,1391.17,103.0,no ha hecho review,0
19372250,1938.91,137.0,1.0,0
1937648259137856lkjnoik,44.96,9.0,no ha hecho review,0
1944086851,64.95,14.0,1.0,2013-12-30
1947CARROTS,104.93,26.0,no ha hecho review,0
194847383,949.33,135.0,1.0,2013-12-25
1956aa1,1387.69,113.0,0.5,2015-02-26
195862,595.66,69.0,1.0,2014-07-06
19702316748,937.31,94.0,no ha hecho review,0
19720911,0.0,5.0,no ha hecho review,0
19820182123,169.94,13.0,no ha hecho review,0
1994dbc,1999.97,207.0,1.0,2014-06-23
1997-07-06_J077,29.98,7.0,no ha hecho review,0
19990923,224.91,41.0,1.0,0
199A,138.91,27.0,no ha hecho review,0
19te_Polska,964.43,70.0,1.0,0
1BUCK80,319.87,32.0,no ha hecho review,0
1GN33L,224.88,20.0,no ha hecho review,0
1MLG2U,350.57,59.0,1.0,2014-03-19
1NFR33,1938.91,196.0,1.0,2014-04-27
1R1M1,318.75,52.0,0.3333333333333333,2014-07-29
1UK33Y,354.79,30.0,no ha hecho review,0
1_Taipan,356.84,25.0,no ha hecho review,0
1a1u14,360.75,76.0,1.0,2015-11-10
1dog636,1037.24,104.0,no ha hecho review,0
1epicninja,989.44,91.0,1.0,2015-12-23
1iam1iam1iam,799.7,70.0,1.0,2015-12-09
1jamesn4,930.4,82.0,1.0,2015-05-31
1qaz2wwx010,44.97,23.0,no ha hecho review,0
1silentsniper1,3567.9,319.0,1.0,2011-01-07
1snap,1925.56,179.0,0.8571428571428571,2013-12-09
1stBLUE-COW,342.77,52.0,1.0,2014-12-10
1stpionpaul,2021.72,162.0,1.0,2015-01-13
1sttperson,379.77,42.0,no ha hecho review,0
1v1meguy,3145.04,245.0,1.0,2015-02-16
1v1meinclubpenguinscrub,329.82,28.0,no ha hecho review,0
1v1mim8,658.55,70.0,no ha hecho review,0
2000jtc,683.66,60.0,no ha hecho review,0
2001911,9.99,4.0,no ha hecho review,0
200220006,1805.03,139.0,1.0,2014-02-03
20041213,19.98,27.0,0.6666666666666666,2014-08-17
200719917302,799.61,59.0,no ha hecho review,0
200px-spy-taunt-laugh,64.96,18.0,1.0,0
2011368123,3075.04,252.0,1.0,2014-09-25
20115011,9.99,4.0,no ha hecho review,0
205723552,29.98,15.0,no ha hecho review,0
2080308,722.47,85.0,1.0,2012-01-18
2092000666,160.87,31.0,1.0,2015-02-01
210519992016,588.6,84.0,0.2,2015-05-08
21072013,39.98,21.0,no ha hecho review,0
211011374,499.78,32.0,1.0,0
21129393,34.97,9.0,no ha hecho review,0
2114521846341684,149.91,13.0,no ha hecho review,0
2121312,34.97,17.0,no ha hecho review,0
2125125126,34.97,6.0,no ha hecho review,0
212blair212,104.92,17.0,no ha hecho review,0
213123123132,460.66,200.0,no ha hecho review,0
21321112399,184.92,13.0,no ha hecho review,0
2139093311,9.99,7.0,no ha hecho review,0
215251,312.83,35.0,no ha hecho review,0
216712138,878.55,92.0,1.0,2015-08-12
218939137821738213127983,602.6,92.0,no ha hecho review,0
219121912191,44.97,13.0,no ha hecho review,0
21lord21drag,59.97,5.0,no ha hecho review,0
22109203,667.11,98.0,no ha hecho review,0
222081994,305.88,26.0,no ha hecho review,0
2222224444555985,204.9,35.0,no ha hecho review,0
2222455,1366.13,131.0,1.0,2013-12-13
2233dog15,245.9,17.0,no ha hecho review,0
22491987,307.83,51.0,no ha hecho review,0
22502250,872.5699999999999,77.0,1.0,2014-05-08
225544,769.51,72.0,0.6666666666666666,2015-02-07
225555,195.89,17.0,1.0,2015-07-05
226rep,159.94,10.0,no ha hecho review,0
2271531450,84.91,25.0,1.0,0
2293371488,225.29,47.0,no ha hecho review,0
23012003,94.94,18.0,1.0,2013-12-13
231091,2625.6,184.0,1.0,2013-12-01
2311985201258745633313,321.84,37.0,no ha hecho review,0
231321455,274.82,60.0,1.0,2014-04-05
23142433253545,1249.24,122.0,no ha hecho review,0
23184798,97.91,32.0,1.0,2015-09-11
2323534545,1294.07,158.0,0.7142857142857143,0
233433,22.98,8.0,no ha hecho review,0
2342526,619.66,52.0,no ha hecho review,0
23434454365463446754546576e45646,756.4499999999999,99.0,1.0,2014-07-02
2345XXXXX,313.74,52.0,no ha hecho review,0
234671,144.89,28.0,no ha hecho review,0
235269,1110.76,88.0,1.0,2014-06-13
235324234732,255.76,27.0,no ha hecho review,0
2364786499,609.52,49.0,1.0,2015-04-14
23745736,413.8,74.0,1.0,2015-06-15
2378695,34.98,2.0,no ha hecho review,0
2390746539217,355.87,23.0,1.0,2013-03-29
23974656456,709.56,84.0,1.0,2014-11-27
2398,151.86,22.0,no ha hecho review,0
23Batman05,1312.16,145.0,1.0,2014-06-30
23jesus23,619.64,70.0,no ha hecho review,0
24045681579016271,29.97,15.0,no ha hecho review,0
24101738,59.99,34.0,1.0,0
243567890,44.97,7.0,no ha hecho review,0
2435689,626.52,76.0,no ha hecho review,0
2435764824567835,149.9,26.0,no ha hecho review,0
24453,1100.51,74.0,0.6666666666666666,2014-07-09
2448531,385.63,80.0,1.0,2014-07-19
24532453,1141.3,134.0,no ha hecho review,0
24596,814.8199999999999,121.0,1.0,2014-05-03
24681256447,67.94999999999999,11.0,no ha hecho review,0
246823,265.85,25.0,1.0,2014-08-24
247211,1390.0,154.0,1.0,2014-03-17
2479742,1245.37,106.0,1.0,0
248392584,30.96,7.0,no ha hecho review,0
248482,2808.41,277.0,no ha hecho review,0
24862345243,691.65,49.0,no ha hecho review,0
24902,402.79,45.0,no ha hecho review,0
249758,3213.37,181.0,1.0,2013-06-08
24BallerJK,39.97,9.0,no ha hecho review,0
24CmRuler,858.5,77.0,no ha hecho review,0
25050,825.6,99.0,1.0,2014-01-26
25061841,170.89,15.0,no ha hecho review,0
25230405,984.4,98.0,1.0,0
25231341243,213.85,34.0,no ha hecho review,0
2539428377924,817.5,106.0,no ha hecho review,0
256565,178.9,18.0,no ha hecho review,0
2571,8121.349999999999,690.0,1.0,2015-07-05
259987556434546,1113.69,121.0,no ha hecho review,0
25_Years_Since_Freddie,309.81,30.0,0.8571428571428571,2015-01-04
26070,475.73,36.0,1.0,2013-11-29
2608739,24.98,5.0,1.0,2013-01-29
26292919,585.62,94.0,no ha hecho review,0
2647891,39.97,8.0,1.0,2014-05-19
2688789326887893,245.88,73.0,no ha hecho review,0
269485,3786.56,284.0,no ha hecho review,0
27073108,1218.4,106.0,0.5,2014-05-09
27601MCM,299.79,58.0,1.0,2015-09-12
27649735,0.0,2.0,no ha hecho review,0
2768820078,1545.27,91.0,0.8,2015-05-02
279519365,993.54,127.0,1.0,2014-06-28
27dnguyen,226.77,29.0,no ha hecho review,0
28019769,2178.94,124.0,no ha hecho review,0
2826,110.94,7.0,no ha hecho review,0
2891723967123,1908.9,160.0,0.7142857142857143,2013-07-01
28yelkco,219.84,32.0,no ha hecho review,0
29017637452801,496.54,86.0,1.0,0
291129112911291129112911,489.65,68.0,1.0,2012-10-06
29123,229.88,18.0,0.8,2014-11-22
2933725,0.0,2.0,no ha hecho review,0
2987654235,15.98,8.0,no ha hecho review,0
29998000,259.84,46.0,1.0,2015-12-10
2Chill,1179.08,122.0,1.0,2015-01-04
2Degrees,1133.44,82.0,1.0,2010-12-18
2EzRogueDH,99.96,12.0,1.0,0
2JZEEEEBABY,787.5699999999999,61.0,1.0,2015-09-26
2Lethal,1207.31,117.0,1.0,0
2Ryo2Know,217.85,29.0,no ha hecho review,0
2Ta4,3363.25,362.0,0.6666666666666666,2014-12-22
2ZESTY4ME,420.75,82.0,0.5,2013-12-13
2amigosupremos753,0.0,1.0,no ha hecho review,0
2cq,9095.92,898.0,no ha hecho review,0
2d4nk4m3,692.37,160.0,0.5,2014-03-18
2edgy4youboi,775.49,84.0,1.0,2014-01-05
2ez2xl,721.5,79.0,1.0,2015-06-14
2ez4medick,382.74,32.0,1.0,2014-06-28
2fast4u271,256.76,39.0,no ha hecho review,0
2g00d4u,100.92,14.0,no ha hecho review,0
2greasy,725.52,33.0,no ha hecho review,0
2ik4tf,165.86,22.0,1.0,2014-01-22
2kewl4you,19.99,9.0,no ha hecho review,0
2lstgun,237.84,31.0,1.0,2015-12-27
2matoe,150.87,24.0,no ha hecho review,0
2muchred,1659.85,149.0,no ha hecho review,0
2nerdssemvida,187.79,101.0,1.0,2015-01-28
2pac_Skai,0.0,1.0,no ha hecho review,0
2pacisaliveincuba,3443.64,303.0,1.0,2015-11-02
2ptwisted,131.94,18.0,no ha hecho review,0
2red12,1753.97,151.0,1.0,0
2sBs,2455.4,219.0,1.0,2014-09-27
2sd31,170.9,11.0,1.0,0
2seggy4um8havalook,54.97,10.0,no ha hecho review,0
2she,483.58,57.0,no ha hecho review,0
2sneaky5u,3116.87,291.0,1.0,2014-11-08
2spookis,1569.47,199.0,1.0,2013-11-27
2spooky,3809.0,323.0,0.8333333333333334,2014-03-23
2unimaginative4u,40.96,23.0,no ha hecho review,0
2v1meyoucheekyscrub,554.76,42.0,1.0,2014-07-19
2xDelorean,419.71,55.0,1.0,2011-10-30
30035115,1328.29,97.0,no ha hecho review,0
300799,24.98,14.0,no ha hecho review,0
